专业名,学院,教育层次,维度,供给评分,2024需求均值,超前度,分级
嵌入式技术,中德机器人学院,职业本科,数字化程度,78,34.32,43.7,显著超前
嵌入式技术,中德机器人学院,职业本科,AI相关性,75,8.45,66.5,显著超前
嵌入式技术,中德机器人学院,职业本科,技术复杂度,78,36.37,41.6,显著超前
现代通信工程,信息与通信学院,职业本科,数字化程度,72,34.32,37.7,显著超前
现代通信工程,信息与通信学院,职业本科,AI相关性,55,8.45,46.5,显著超前
现代通信工程,信息与通信学院,职业本科,技术复杂度,70,36.37,33.6,适度超前
集成电路工程技术,微电子学院,职业本科,数字化程度,70,34.32,35.7,显著超前
集成电路工程技术,微电子学院,职业本科,AI相关性,42,8.45,33.5,适度超前
集成电路工程技术,微电子学院,职业本科,技术复杂度,82,36.37,45.6,显著超前
智能制造工程技术,智能制造与装备学院,职业本科,数字化程度,72,34.32,37.7,显著超前
智能制造工程技术,智能制造与装备学院,职业本科,AI相关性,38,8.45,29.6,适度超前
智能制造工程技术,智能制造与装备学院,职业本科,技术复杂度,73,36.37,36.6,显著超前
软件工程技术,计算机与软件学院,职业本科,数字化程度,92,34.32,57.7,显著超前
软件工程技术,计算机与软件学院,职业本科,AI相关性,82,8.45,73.5,显著超前
软件工程技术,计算机与软件学院,职业本科,技术复杂度,85,36.37,48.6,显著超前
信息安全技术应用,计算机与软件学院,高职专科,数字化程度,52,34.32,17.7,适度超前
信息安全技术应用,计算机与软件学院,高职专科,AI相关性,22,8.45,13.6,同步
信息安全技术应用,计算机与软件学院,高职专科,技术复杂度,58,36.37,21.6,适度超前
区块链技术应用,计算机与软件学院,高职专科,数字化程度,85,34.32,50.7,显著超前
区块链技术应用,计算机与软件学院,高职专科,AI相关性,25,8.45,16.6,适度超前
区块链技术应用,计算机与软件学院,高职专科,技术复杂度,75,36.37,38.6,显著超前
移动互联应用技术,计算机与软件学院,高职专科,数字化程度,88,34.32,53.7,显著超前
移动互联应用技术,计算机与软件学院,高职专科,AI相关性,55,8.45,46.5,显著超前
移动互联应用技术,计算机与软件学院,高职专科,技术复杂度,72,36.37,35.6,显著超前
计算机应用技术,计算机与软件学院,高职专科,数字化程度,78,34.32,43.7,显著超前
计算机应用技术,计算机与软件学院,高职专科,AI相关性,18,8.45,9.6,同步
计算机应用技术,计算机与软件学院,高职专科,技术复杂度,65,36.37,28.6,适度超前
计算机网络技术,计算机与软件学院,高职专科,数字化程度,72,34.32,37.7,显著超前
计算机网络技术,计算机与软件学院,高职专科,AI相关性,28,8.45,19.6,适度超前
计算机网络技术,计算机与软件学院,高职专科,技术复杂度,65,36.37,28.6,适度超前
软件技术,计算机与软件学院,高职专科,数字化程度,85,34.32,50.7,显著超前
软件技术,计算机与软件学院,高职专科,AI相关性,78,8.45,69.5,显著超前
软件技术,计算机与软件学院,高职专科,技术复杂度,75,36.37,38.6,显著超前
智能互联网络技术,信息与通信学院,高职专科,数字化程度,80,34.32,45.7,显著超前
智能互联网络技术,信息与通信学院,高职专科,AI相关性,68,8.45,59.5,显著超前
智能互联网络技术,信息与通信学院,高职专科,技术复杂度,72,36.37,35.6,显著超前
汽车智能技术,信息与通信学院,高职专科,数字化程度,75,34.32,40.7,显著超前
汽车智能技术,信息与通信学院,高职专科,AI相关性,50,8.45,41.5,显著超前
汽车智能技术,信息与通信学院,高职专科,技术复杂度,70,36.37,33.6,适度超前
物联网应用技术,信息与通信学院,高职专科,数字化程度,90,34.32,55.7,显著超前
物联网应用技术,信息与通信学院,高职专科,AI相关性,55,8.45,46.5,显著超前
物联网应用技术,信息与通信学院,高职专科,技术复杂度,70,36.37,33.6,适度超前
现代移动通信技术,信息与通信学院,高职专科,数字化程度,80,34.32,45.7,显著超前
现代移动通信技术,信息与通信学院,高职专科,AI相关性,45,8.45,36.5,显著超前
现代移动通信技术,信息与通信学院,高职专科,技术复杂度,75,36.37,38.6,显著超前
智能产品开发与应用,微电子学院,高职专科,数字化程度,58,34.32,23.7,适度超前
智能产品开发与应用,微电子学院,高职专科,AI相关性,28,8.45,19.6,适度超前
智能产品开发与应用,微电子学院,高职专科,技术复杂度,58,36.37,21.6,适度超前
智能光电技术应用,微电子学院,高职专科,数字化程度,55,34.32,20.7,适度超前
智能光电技术应用,微电子学院,高职专科,AI相关性,22,8.45,13.6,同步
智能光电技术应用,微电子学院,高职专科,技术复杂度,68,36.37,31.6,适度超前
集成电路技术,微电子学院,高职专科,数字化程度,75,34.32,40.7,显著超前
集成电路技术,微电子学院,高职专科,AI相关性,38,8.45,29.6,适度超前
集成电路技术,微电子学院,高职专科,技术复杂度,80,36.37,43.6,显著超前
云计算技术应用,人工智能学院,高职专科,数字化程度,78,34.32,43.7,显著超前
云计算技术应用,人工智能学院,高职专科,AI相关性,18,8.45,9.6,同步
云计算技术应用,人工智能学院,高职专科,技术复杂度,72,36.37,35.6,显著超前
人工智能技术应用,人工智能学院,高职专科,数字化程度,88,34.32,53.7,显著超前
人工智能技术应用,人工智能学院,高职专科,AI相关性,96,8.45,87.5,显著超前
人工智能技术应用,人工智能学院,高职专科,技术复杂度,92,36.37,55.6,显著超前
大数据技术,人工智能学院,高职专科,数字化程度,82,34.32,47.7,显著超前
大数据技术,人工智能学院,高职专科,AI相关性,52,8.45,43.5,显著超前
大数据技术,人工智能学院,高职专科,技术复杂度,78,36.37,41.6,显著超前
广播影视节目制作,数字媒体学院,高职专科,数字化程度,50,34.32,15.7,适度超前
广播影视节目制作,数字媒体学院,高职专科,AI相关性,20,8.45,11.6,同步
广播影视节目制作,数字媒体学院,高职专科,技术复杂度,55,36.37,18.6,适度超前
数字媒体技术,数字媒体学院,高职专科,数字化程度,88,34.32,53.7,显著超前
数字媒体技术,数字媒体学院,高职专科,AI相关性,45,8.45,36.5,显著超前
数字媒体技术,数字媒体学院,高职专科,技术复杂度,80,36.37,43.6,显著超前
数字媒体艺术设计,数字媒体学院,高职专科,数字化程度,65,34.32,30.7,适度超前
数字媒体艺术设计,数字媒体学院,高职专科,AI相关性,30,8.45,21.6,适度超前
数字媒体艺术设计,数字媒体学院,高职专科,技术复杂度,58,36.37,21.6,适度超前
环境艺术设计,数字媒体学院,高职专科,数字化程度,48,34.32,13.7,同步
