专业名,学院,教育层次,供给侧工具数,供给侧软技能数,工具Top50覆盖率,工具加权覆盖率,软技能Top10覆盖率,供给数字化均值,需求数字化均值,数字化差值,供给AI相关性均值,需求AI相关性均值,AI相关性差值,综合匹配指数
园林工程技术,交通与环境学院,高职专科,10,8,0.0,0.0,0.5,45,35.8,9.2,15,8.7,6.3,31.3
无人机应用技术,中德机器人学院,高职专科,4,17,0.06,0.126,0.3,40,35.8,4.2,20,8.7,11.3,30.3
财富管理,财经学院,高职专科,8,11,0.0,0.0,0.4,40,35.8,4.2,25,8.7,16.3,30.3
关务与外贸服务,管理学院,高职专科,0,12,0.0,0.0,0.4,42,35.8,6.2,12,8.7,3.3,29.5
机械设计与制造,智能制造与装备学院,高职专科,9,7,0.1,0.251,0.5,65,35.8,29.2,25,8.7,16.3,28.3
计算机网络技术,计算机与软件学院,高职专科,6,15,0.08,0.133,0.6,72,35.8,36.2,28,8.7,19.3,27.5
环境艺术设计,数字媒体学院,高职专科,9,7,0.04,0.148,0.3,48,35.8,12.2,18,8.7,9.3,26.1
城市轨道交通运营管理,交通与环境学院,高职专科,17,8,0.0,0.0,0.4,55,35.8,19.2,15,8.7,6.3,24.3
学前教育,应用外语学院,高职专科,9,12,0.0,0.0,0.3,48,35.8,12.2,20,8.7,11.3,24.1
工业设计,智能制造与装备学院,高职专科,8,5,0.08,0.212,0.3,58,35.8,22.2,12,8.7,3.3,24.1
智能制造工程技术,智能制造与装备学院,职业本科,11,8,0.06,0.206,0.5,72,35.8,36.2,38,8.7,29.3,23.5
信息安全技术应用,计算机与软件学院,高职专科,3,8,0.02,0.039,0.3,52,35.8,16.2,22,8.7,13.3,23.5
广播影视节目制作,数字媒体学院,高职专科,2,8,0.0,0.0,0.3,50,35.8,14.2,20,8.7,11.3,23.3
智能光电技术应用,微电子学院,高职专科,17,10,0.04,0.129,0.3,55,35.8,19.2,22,8.7,13.3,23.3
金融服务与管理,财经学院,高职专科,0,6,0.0,0.0,0.4,58,35.8,22.2,30,8.7,21.3,23.1
